Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.14     0.00   460308     0.00     0.00  bool __gnu_cxx::__ops::_Iter_comp_iter<std::greater<void> >::operator()<__gnu_cxx::__normal_iterator<std::pair<long long, int>*, std::vector<std::pair<long long, int>, std::allocator<std::pair<long long, int> > > >, __gnu_cxx::__normal_iterator<std::pair<long long, int>*, std::vector<std::pair<long long, int>, std::allocator<std::pair<long long, int> > > > >(__gnu_cxx::__normal_iterator<std::pair<long long, int>*, std::vector<std::pair<long long, int>, std::allocator<std::pair<long long, int> > > >, __gnu_cxx::__normal_iterator<std::pair<long long, int>*, std::vector<std::pair<long long, int>, std::allocator<std::pair<long long, int> > > >)
  0.00      0.14     0.00   359982     0.00     0.00  __gnu_cxx::new_allocator<Edge>::_M_max_size() const
  0.00      0.14     0.00   287238     0.00     0.00  std::vector<std::tuple<int, int, int>, std::allocator<std::tuple<int, int, int> > >::end()
  0.00      0.14     0.00   287218     0.00     0.00  bool __gnu_cxx::operator!=<std::tuple<int, int, int>*, std::vector<std::tuple<int, int, int>, std::allocator<std::tuple<int, int, int> > > >(__gnu_cxx::__normal_iterator<std::tuple<int, int, int>*, std::vector<std::tuple<int, int, int>, std::allocator<std::tuple<int, int, int> > > > const&, __gnu_cxx::__normal_iterator<std::tuple<int, int, int>*, std::vector<std::tuple<int, int, int>, std::allocator<std::tuple<int, int, int> > > > const&)
  0.00      0.14     0.00   287217     0.00     0.00  void __gnu_cxx::new_allocator<std::tuple<int, int, int> >::construct<std::tuple<int, int, int>, int&, int&, int&>(std::tuple<int, int, int>*, int&, int&, int&)
  0.00      0.14     0.00   287217     0.00     0.00  __gnu_cxx::__normal_iterator<std::tuple<int, int, int>*, std::vector<std::tuple<int, int, int>, std::allocator<std::tuple<int, int, int> > > >::operator++()
  0.00      0.14     0.00   287217     0.00     0.00  __gnu_cxx::__normal_iterator<std::tuple<int, int, int>*, std::vector<std::tuple<int, int, int>, std::allocator<std::tuple<int, int, int> > > >::operator-(long) const
  0.00      0.14     0.00   287217     0.00     0.00  std::_Head_base<0ul, int, false>::_M_head(std::_Head_base<0ul, int, false> const&)
  0.00      0.14     0.00   287217     0.00     0.00  std::_Head_base<1ul, int, false>::_M_head(std::_Head_base<1ul, int, false> const&)
  0.00      0.14     0.00   287217     0.00     0.00  std::_Head_base<1ul, int, false>::_Head_base<int&>(int&)
  0.00      0.14     0.00   287217     0.00     0.00  std::_Head_base<2ul, int, false>::_M_head(std::_Head_base<2ul, int, false> const&)
  0.00      0.14     0.00   287217     0.00     0.00  std::_Head_base<2ul, int, false>::_Head_base<int&>(int&)
  0.00      0.14     0.00   287217     0.00     0.00  std::_Tuple_impl<0ul, int, int, int>::_M_head(std::_Tuple_impl<0ul, int, int, int> const&)
  0.00      0.14     0.00   287217     0.00     0.00  std::_Tuple_impl<0ul, int, int, int>::_Tuple_impl<int&, int&, int&, void>(int&, int&, int&)
  0.00      0.14     0.00   287217     0.00     0.00  std::_Tuple_impl<1ul, int, int>::_M_head(std::_Tuple_impl<1ul, int, int> const&)
  0.00      0.14     0.00   287217     0.00     0.00  std::_Tuple_impl<1ul, int, int>::_Tuple_impl<int&, int&, void>(int&, int&)
  0.00      0.14     0.00   287217     0.00     0.00  std::_Tuple_impl<2ul, int>::_M_head(std::_Tuple_impl<2ul, int> const&)
  0.00      0.14     0.00   287217     0.00     0.00  std::_Tuple_impl<2ul, int>::_Tuple_impl<int&>(int&)
  0.00      0.14     0.00   287217     0.00     0.00  std::tuple<int, int, int>::tuple<int&, int&, int&, true, true>(int&, int&, int&)
  0.00      0.14     0.00   287217     0.00     0.00  std::tuple<int, int, int>& std::vector<std::tuple<int, int, int>, std::allocator<std::tuple<int, int, int> > >::emplace_back<int&, int&, int&>(int&, int&, int&)
  0.00      0.14     0.00   287217     0.00     0.00  std::vector<std::tuple<int, int, int>, std::allocator<std::tuple<int, int, int> > >::back()
  0.00      0.14     0.00   287217     0.00     0.00  int const& std::__get_helper<0ul, int, int, int>(std::_Tuple_impl<0ul, int, int, int> const&)
  0.00      0.14     0.00   287217     0.00     0.00  int const& std::__get_helper<1ul, int, int>(std::_Tuple_impl<1ul, int, int> const&)
  0.00      0.14     0.00   287217     0.00     0.00  int const& std::__get_helper<2ul, int>(std::_Tuple_impl<2ul, int> const&)
  0.00      0.14     0.00   287217     0.00     0.00  std::tuple_element<0ul, std::tuple<int, int, int> >::type const& std::get<0ul, int, int, int>(std::tuple<int, int, int> const&)
  0.00      0.14     0.00   287217     0.00     0.00  std::tuple_element<1ul, std::tuple<int, int, int> >::type const& std::get<1ul, int, int, int>(std::tuple<int, int, int> const&)
  0.00      0.14     0.00   287217     0.00     0.00  std::tuple_element<2ul, std::tuple<int, int, int> >::type const& std::get<2ul, int, int, int>(std::tuple<int, int, int> const&)
  0.00      0.14     0.00   259990     0.00     0.00  std::_Vector_base<Edge, std::allocator<Edge> >::_M_get_Tp_allocator()
  0.00      0.14     0.00   240106     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<long long, int>*, std::vector<std::pair<long long, int>, std::allocator<std::pair<long long, int> > > >::base() const
  0.00      0.14     0.00   240096     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.14     0.00   239988     0.00     0.00  __gnu_cxx::new_allocator<Edge>::max_size() const
  0.00      0.14     0.00   239988     0.00     0.00  std::_Vector_base<Edge, std::allocator<Edge> >::_M_get_Tp_allocator() const
  0.00      0.14     0.00   239988     0.00     0.00  std::vector<Edge, std::allocator<Edge> >::max_size() const
