Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.12     0.00   358391     0.00     0.00  Edge& std::vector<Edge, std::allocator<Edge> >::emplace_back<int&, long long&>(int&, long long&)
  0.00      0.12     0.00   341144     0.00     0.00  int&& std::forward<int>(std::remove_reference<int>::type&)
  0.00      0.12     0.00   334058     0.00     0.00  __gnu_cxx::new_allocator<Edge>::_M_max_size() const
  0.00      0.12     0.00   321673     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<long long, int>*, std::vector<std::pair<long long, int>, std::allocator<std::pair<long long, int> > > >::operator*() const
  0.00      0.12     0.00   287237     0.00     0.00  std::vector<std::tuple<int, int, long long>, std::allocator<std::tuple<int, int, long long> > >::end()
  0.00      0.12     0.00   287217     0.00     0.00  void __gnu_cxx::new_allocator<std::tuple<int, int, long long> >::construct<std::tuple<int, int, long long>, int&, int&, long long&>(std::tuple<int, int, long long>*, int&, int&, long long&)
  0.00      0.12     0.00   287217     0.00     0.00  __gnu_cxx::__normal_iterator<std::tuple<int, int, long long>*, std::vector<std::tuple<int, int, long long>, std::allocator<std::tuple<int, int, long long> > > >::operator*() const
  0.00      0.12     0.00   287217     0.00     0.00  __gnu_cxx::__normal_iterator<std::tuple<int, int, long long>*, std::vector<std::tuple<int, int, long long>, std::allocator<std::tuple<int, int, long long> > > >::operator-(long) const
  0.00      0.12     0.00   287217     0.00     0.00  std::_Head_base<0ul, int, false>::_Head_base<int&>(int&)
  0.00      0.12     0.00   287217     0.00     0.00  std::_Head_base<1ul, int, false>::_Head_base<int&>(int&)
  0.00      0.12     0.00   287217     0.00     0.00  std::_Tuple_impl<0ul, int, int, long long>::_Tuple_impl<int&, int&, long long&, void>(int&, int&, long long&)
  0.00      0.12     0.00   287217     0.00     0.00  std::_Tuple_impl<1ul, int, long long>::_Tuple_impl<int&, long long&, void>(int&, long long&)
  0.00      0.12     0.00   287217     0.00     0.00  std::_Tuple_impl<2ul, long long>::_Tuple_impl<long long&>(long long&)
  0.00      0.12     0.00   287217     0.00     0.00  void std::allocator_traits<std::allocator<std::tuple<int, int, long long> > >::construct<std::tuple<int, int, long long>, int&, int&, long long&>(std::allocator<std::tuple<int, int, long long> >&, std::tuple<int, int, long long>*, int&, int&, long long&)
  0.00      0.12     0.00   287217     0.00     0.00  std::tuple<int, int, long long>::tuple<int&, int&, long long&, true, true>(int&, int&, long long&)
  0.00      0.12     0.00   287217     0.00     0.00  std::tuple<int, int, long long>& std::vector<std::tuple<int, int, long long>, std::allocator<std::tuple<int, int, long long> > >::emplace_back<int&, int&, long long&>(int&, int&, long long&)
  0.00      0.12     0.00   287217     0.00     0.00  std::vector<std::tuple<int, int, long long>, std::allocator<std::tuple<int, int, long long> > >::back()
  0.00      0.12     0.00   287003     0.00     0.00  std::vector<std::tuple<int, int, long long>, std::allocator<std::tuple<int, int, long long> > >::operator[](unsigned long)
  0.00      0.12     0.00   282626     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<long long, int>*, std::vector<std::pair<long long, int>, std::allocator<std::pair<long long, int> > > >::operator+(long) const
  0.00      0.12     0.00   268742     0.00     0.00  std::_Vector_base<Edge, std::allocator<Edge> >::_M_get_Tp_allocator()
  0.00      0.12     0.00   254606     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.12     0.00   239815     0.00     0.00  Edge* std::__relocate_a_1<Edge*, Edge*, std::allocator<Edge> >(Edge*, Edge*, Edge*, std::allocator<Edge>&)
  0.00      0.12     0.00   239814     0.00     0.00  Edge* std::__relocate_a<Edge*, Edge*, std::allocator<Edge> >(Edge*, Edge*, Edge*, std::allocator<Edge>&)
  0.00      0.12     0.00   239812     0.00     0.00  std::vector<Edge, std::allocator<Edge> >::_S_do_relocate(Edge*, Edge*, Edge*, std::allocator<Edge>&, std::integral_constant<bool, true>)
  0.00      0.12     0.00   239811     0.00     0.00  std::vector<Edge, std::allocator<Edge> >::_S_relocate(Edge*, Edge*, Edge*, std::allocator<Edge>&)
  0.00      0.12     0.00   232004     0.00     0.00  long long&& std::forward<long long>(std::remove_reference<long long>::type&)
  0.00      0.12     0.00   226605     0.00     0.00  int& std::__get_helper<0ul, int, int, long long>(std::_Tuple_impl<0ul, int, int, long long>&)
  0.00      0.12     0.00   208526     0.00     0.00  __gnu_cxx::new_allocator<Edge>::max_size() const
  0.00      0.12     0.00   203479     0.00     0.00  std::vector<std::vector<Edge, std::allocator<Edge> >, std::allocator<std::vector<Edge, std::allocator<Edge> > > >::operator[](unsigned long) const
  0.00      0.12     0.00   202035     0.00     0.00  std::allocator_traits<std::allocator<Edge> >::max_size(std::allocator<Edge> const&)
  0.00      0.12     0.00   196499     0.00     0.00  std::vector<Edge, std::allocator<Edge> >::_S_max_size(std::allocator<Edge> const&)
  0.00      0.12     0.00   192244     0.00     0.00  std::_Tuple_impl<0ul, int, int, long long>::_M_head(std::_Tuple_impl<0ul, int, int, long long>&)
  0.00      0.12     0.00   188154     0.00     0.00  std::_Vector_base<Edge, std::allocator<Edge> >::_M_get_Tp_allocator() const
  0.00      0.12     0.00   178389     0.00     0.00  std::vector<Edge, std::allocator<Edge> >::max_size() const
  0.00      0.12     0.00   147654     0.00     0.00  std::_Vector_base<Edge, std::allocator<Edge> >::_M_deallocate(Edge*, unsigned long)
  0.00      0.12     0.00   142153     0.00     0.00  std::_Head_base<2ul, long long, false>::_M_head(std::_Head_base<2ul, long long, false>&)
  0.00      0.12     0.00   137705     0.00     0.00  long long& std::__get_helper<2ul, long long>(std::_Tuple_impl<2ul, long long>&)
  0.00      0.12     0.00   137518     0.00     0.00  std::_Tuple_impl<2ul, long long>::_M_head(std::_Tuple_impl<2ul, long long>&)
  0.00      0.12     0.00   133330     0.00     0.00  std::_Tuple_impl<1ul, int, long long>::_M_head(std::_Tuple_impl<1ul, int, long long>&)
